CDNAME,CDUID,Aerospace Vehicles and Defense,Agricultural Inputs and Services,Apparel,Automotive,Biopharmaceuticals,Business Services,Coal Mining,Communications Equipment and Services,Construction Products and Services,Distribution and Electronic Commerce,Downstream Chemical Products,Downstream Metal Products,Education and Knowledge Creation,Electric Power Generation and Transmission,Environmental Services,Financial Services,Fishing and Fishing Products,Food Processing and Manufacturing,Footwear,Forestry,Furniture,Hospitality and Tourism,Information Technology and Analytical Instruments,Insurance Services,Jewelry and Precious Metals,Leather and Related Products,Lighting and Electrical Equipment,Livestock Processing,Local Commercial Services,Local Community and Civic Organizations,Local Education and Training,Local Entertainment and Media,Local Financial Services,Local Food and Beverage Processing and Distribution,Local Health Services,Local Hospitality Establishments,Local Household Goods and Services,Local Industrial Products and Services,Local Logistical Services,Local Motor Vehicle Products and Services,Local Personal Services (Non-Medical),"Local Real Estate, Construction, and Development",Local Retailing of Clothing and General Merchandise,Local Utilities,"Marketing, Design, and Publishing",Medical Devices,Metal Mining,Metalworking Technology,Music and Sound Recording,Nonmetal Mining,Oil and Gas Production and Transportation,Paper and Packaging,Performing Arts,Plastics,Printing Services,Production Technology and Heavy Machinery,Recreational and Small Electric Goods,Textile Manufacturing,Tobacco,"Trailers, Motor Homes, and Appliances",Transportation and Logistics,Upstream Chemical Products,Upstream Metal Manufacturing,Video Production and Distribution,Vulcanized and Fired Materials,Water Transportation,Wood Products
Division No. 11,1011,0,0,0,0,0,0.440281678,1.447724533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.097733292,0,0,0,0,0,0,0.068016895,5.796630705,0,3.402637259,0,6.222506085,1.914774306,0.45700937,0,0,0,0,0,0.843576026,0.116307008,0,0,0,0.386712642,0,0,0.399134188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kings,1101,0.299400206,1.28773152,0,0,0,0.02088801,0,0,0.284231821,1.461378666,0,0.099405147,0.072933096,0,0.784665983,0.022587765,34.47589629,5.964257895,0,0.368140972,0.225922543,1.023970509,0.053741464,0.012204098,0.422704039,0,1.284474171,0.117252733,0.056166183,0.524306411,0.019578431,0.166754502,0.564093461,0.658291917,4.894012042,0.485911149,0.310511892,0.11736183,0.116265309,0.547820235,0.444389276,0.818895115,0.091472615,0.023101112,0.009041987,0,0,0.479084699,0,0,0.067708349,0,0.176326322,0,0,0.676290258,0,0,0,0,0.688386974,0,0,0.210333054,0,1.340983627,0.908479292
Queens,1102,0.008816943,1.118699099,0.196364362,0.073836913,5.550192583,1.137476973,0,0,1.140746061,0.311758302,0,0.458344099,1.556714081,0.244308532,1.368395319,0.614626365,1.68569481,0.583980819,0,0.108412685,0.070476579,1.505559991,0.070409998,0.575031477,0,0,0.378260787,0.034529391,0.393486956,0.909461654,1.815221659,0.972621086,0.563357108,3.359917911,0.475621638,1.717754279,0.992513555,0.36548756,0.610537014,0.846960818,1.027613327,0.809957354,0.886330145,1.765446364,0.165582334,0.101496044,0,0.150564072,0.275444825,0,0.003987844,0,4.369184147,0.002872784,0.704822107,0.390758531,0.103829822,0.025340259,0,0.011324561,0.959756903,0,0,0.164650094,0.038815385,0.87110753,0.192573095
Prince,1103,11.18496063,8.979961276,0.706866283,0,0,0.372346453,0.030491536,0,0.481530444,2.452954359,0,0.158564476,0.067960595,1.355222739,2.292083538,0.446293002,22.61985453,3.298712371,0,0.720393708,0.051151455,1.886677493,0.918253818,0.506577091,0,0,0,2.53084865,0.396328616,1.260679762,0.482327723,0.727725163,1.364168081,1.350225739,0.429378817,1.010666275,0.704838939,0.730229168,0.377030045,1.542320702,0.854399274,1.186911572,0.908810139,1.004603991,0.03950785,0.004385375,0.008144825,1.440499583,0,1.501422038,0.022483922,3.664314401,2.09116817,0.002313869,0,0.524259461,0.058266833,1.445185484,0,13.20351802,0.80364645,0,0.209639678,0,0.755249506,5.238831044,0.646454695
Shelburne,1201,0,6.952045473,0,0,0,0.081289047,0,0,0,3.242264323,0,0,0.359092855,0,0.164339707,0.175599404,118.8086922,1.541774256,0,0.113569937,0.887041928,0.2704387,0.367355406,0,0,0,0.092459468,2.835882722,0.179984128,0.303767471,0,0.44062294,0.569349525,1.006681453,1.127505422,0.400604548,0.22467757,0.574384079,0.984746089,0.97083285,0.302752054,0.442068797,0.33134469,0.54874786,0.117155423,0.157549131,0,0,0,0,0,0,0.163187779,0,0.296053622,0,0.125058852,0,0,0,0.3948652,0,1.635958023,0,0,34.49426144,0.031140225
Yarmouth,1202,0,0,1.180763026,0.643394639,0,0.032222728,0,0,0.289698936,1.007295343,0,0.476358586,0.270877935,0,0.601800262,0.207942762,47.69052718,0.017943744,0.944335483,0.121039373,0.118172777,1.059651885,0,0,0,0,0,0.269856898,0.434209013,0.713712993,2.291989605,0.866887011,0.874914223,1.477173244,2.038917971,1.066167321,0.964685043,0.650297061,0.433879281,1.45266896,0.441076521,0.572187639,1.280121837,0.440326919,0.329128563,0.083955528,0,0.151342565,0,0.287436919,0.077915306,0,0.057973518,0.278666702,0.252419932,0.012524112,0.024609264,2.437084035,0,0,0.532232853,0,1.452961778,0.017180518,0,4.311701798,0.199129811
Digby,1203,0.244195414,12.70855303,1.673777004,0,0,0.01853752,0,0,0.026494154,0.42539843,0,0.928916126,1.575172198,0,1.538193671,0.058953373,81.10244506,1.663760791,0,1.201045763,0.033502891,1.207686232,0,0.199077003,0,0,0.06984246,0.038253253,0.151028657,0.60494336,3.26395515,0.513320433,0.740134013,0.809488713,0.94935261,0.574272222,0.285355701,0.176116819,0.795037078,1.151022988,0.44902081,0.485175953,1.983088168,0.96814316,0.17156105,0,0,0.41298349,0,0.081490578,0,0,0.164359384,0.158008307,0,0.042408044,0,0.647349522,0,0,0.131591955,0,0,0,0,13.51074377,1.17614236
,1204,0,0,0,0,0,0.074573179,0,0,0.213450669,1.230052722,0,0,0.030671675,2.813609699,3.167997201,0.1424877,31.98237875,0.643397827,0,8.155695343,0,4.046800569,0,0,0,0,0.225074858,0,0.619560218,0.78988168,0.154380344,0.123762936,1.160348919,1.621041562,2.62877309,0.398943412,1.50406985,0,0.916778191,0.532135248,0.35058311,0.767966767,0.325740351,0.379827349,0.380256571,0,0,0,0,0,0,0,0.794498757,0,0.144137162,0,0.304431811,0,0,0,0.028271284,0,0.265495088,0,0,0.207332518,11.37073675
Annapolis,1205,0,1.916594232,0,0,0,0.538975917,0,0,0.628510948,1.655041833,0,0.42694787,0.911819309,0,5.942253308,0.04034218,31.93622981,0.364327181,0,1.095844674,0.077543319,3.420834735,0,0,0,0,0,0.349026033,0.143824607,1.294240764,0.291395427,0.163523198,1.058585834,0.80930623,1.497919597,0.887926914,0.600052164,0.116450261,1.485289053,2.268793965,0.740289778,1.07006451,0.281069827,1.332887758,1.457676967,0.434343757,0,0.251206503,0,0,0.040309468,0,0.749814707,0.288336327,0.081618376,0,9.65361648,0,0,0,0.112061275,0,2.255068471,0,0,0,0.858498073
Lunenburg,1206,7.651874023,1.592467613,0.274865829,0.008927764,0,0.387171353,0,0,0.01339025,0.276916564,0,0.011824806,0.152486645,0,0.385999767,0.212291274,5.797856178,0.731557987,0,2.688201554,0.473408666,1.585138372,0.143966935,0.05030715,17.77299411,1.50886673,0,0.096666723,0.469493338,1.307305293,2.472162998,0.617810834,0.965496333,1.542723556,1.246953371,1.048859295,1.685925629,0.371720164,1.284668752,1.411374006,0.79172701,0.773823084,0.99739522,0.361859942,0.258160885,0.360889308,0,0.03193407,0,0.617784879,0.11164165,0,0.373805457,0.135394557,0.452102725,1.342586138,0.057863618,0,0,0.009058189,0.172918438,0,0,0.08167062,42.36400473,2.113547137,2.465785514
,1207,0,2.884095101,0,0.061401054,0,0.205158533,0,0,0.202602353,0.434617844,0.263970457,0.021543058,1.973658202,0,0.496483085,0.312500164,0.612034706,2.78668399,0,0.40256595,0.372652481,0.58477371,0,0.235272822,0,0,0,3.988975602,0.562305969,0.60181992,2.637508502,1.144384684,0.9421492,1.836999099,1.181695023,0.953243342,0.725175069,0.505412668,1.154731586,1.200264614,1.040808579,0.874634397,1.142713245,0.866171147,0.21613792,0,0,0.004785014,0,0.594837639,0.030712797,0.322929954,0.242803635,0,0.186561277,0.014740764,0.032836308,10.00198311,0,0,0.631219162,0,0,0.011004903,43.57330134,0,0.22076255
Hants,1208,14.17416452,0.101606023,0,0,2.788287189,0.179410795,0.363480382,0,4.347569343,0.31153078,0,1.46807649,0.086902945,0,1.570952183,0.34932001,0.051617751,0.266036677,0,1.742848071,1.021930438,1.348511822,0.040979555,0.038517652,0,0.577631642,0.40539603,0.222038529,0.460378389,0.418739117,0.368252369,0.333732597,0.783740658,1.87459412,1.497883219,1.001328436,1.673167718,4.101409757,0.803303955,1.616228682,1.41813579,1.610387706,0.637931563,1.02539649,0.046561971,1.151311552,0.097091992,0.774805211,0,0.078834463,0,9.212323092,0.437256137,0.002199192,0.475959402,0.917882571,0.055379073,0,0,0.008669249,0.509211314,0,0.039849947,0.066383729,2.081954455,0,3.378593646
Halifax,1209,4.971630732,0.16576101,0.495528197,0.004181836,0.663372159,1.717893128,0.427873206,1.156914569,0.563850735,0.852217242,0.059927372,0.401452044,1.784662133,0.88359942,1.339043127,0.990609438,1.138935903,0.471662762,0,0.096469058,0.177447051,0.77544368,0.464867213,1.158576656,0.843383607,0.25914725,0.288865736,0.061881936,1.102265768,1.132728184,0.7865496,1.201029658,0.964476174,0.83110857,0.872254618,1.000294264,0.969352914,0.663605302,0.730779657,0.890279792,1.286708439,1.088301756,1.067125501,1.168021827,0.524131106,0.958683015,0.326686227,0.309059594,0.060199895,0.76423528,0.203945977,0.203442284,0.624175764,0.514114759,0.83648568,0.232044858,0.069684065,0.108198122,0,0.005657238,1.119411471,0.220889853,0,0.687184548,0.085818145,3.784855167,0.233053255
Colchester,1210,0,1.723749187,0.37771448,0.144956407,0,0.585442693,1.233291093,0,0.184174913,0.787827187,0,0.852944287,0.204964443,0.017911409,2.314917522,0.290264049,0.153246917,2.305728252,0,1.42557441,0.027492588,1.097037356,0.126441142,0.081681639,0,0,0,0.313907519,0.460126362,0.873012044,2.197540279,1.055192305,0.673016697,1.598858838,1.391055419,1.105461666,2.283835365,1.847464378,1.086972718,1.641973754,0.688630419,0.762376802,1.244195724,0.633171143,0.352595646,0,0.329433705,0.025925014,0,0.167178625,0.009063396,0.285891466,0.101155409,3.997916704,1.137793758,0.007783888,0,17.42375209,0,0,1.544182828,0,0.169013885,0.009992507,0.038233893,0.026397531,2.181231066
Cumberland,1211,6.659874925,4.869543237,0,0.080293685,0,0.046912447,0,1.63834707,0.012042797,0.365478588,0.690384273,3.061595091,0.283677369,1.19057009,4.013958201,0.127285691,2.32829986,7.445907683,0,3.70452427,0,1.349156487,0,0.018097909,18.80530459,0,2.428609008,0.173878424,0.321017611,0.625803475,0.05931028,0.935030121,1.118384319,2.435236908,2.155500793,0.825301397,0.745414338,0.890967155,1.265499594,1.218574395,1.153226341,0.767203541,1.172699976,0.850398785,0.290051567,0,0,0.062573256,0,14.81646867,0,1.266879049,0.41089846,7.606336149,0.203303956,1.065466202,0.052040838,0,0,0.243837347,0.239258099,0.394279762,0,0.022140041,0,0.058488068,0.235228472
Pictou,1212,0,0.430878367,1.887891014,0.012078049,0,3.377557651,1.24944574,0,0.10416231,0.210335672,0,1.291010964,0.108957876,4.492163992,1.261325268,3.831868453,7.989639399,0.231864771,0,2.199659667,0.251980932,0.534064996,0.474337307,0.006805872,0,0,0,0.013077691,0.278660474,0.345876586,1.149729696,0.582036763,0.430835912,1.148770898,1.048567023,0.618371964,0.294396336,1.120729963,0.377762398,1.036055331,0.390448347,0.691424879,0.605557426,0.489547227,0.364383888,0,0.005471293,0.009412482,0,0.005647036,0.037758987,4.764206174,0.014047441,0,1.529083559,0.007249048,0,0.011065513,0,0,1.088697968,0,0,0.031785282,15.2852993,1.451665672,1.913945438
Guysborough,1213,0,0,0,0,38.14803832,0.117618304,0,0,0.052599878,3.239741568,0.301542306,2.787028061,0.105284128,0,0.049291873,0,29.23708857,0,0,2.72512347,0,4.00803972,0,0,0,0,0,0,0.704143136,0.662630436,0.018110757,0.050830756,0.476567658,0.596466043,2.048278939,0.334527712,0.463303129,0.1266939,2.758501125,0.848502264,0.026406884,0.583068386,0.095560737,0.897768199,1.756973514,0,0,1.639824489,0,32.35728496,0,0,1.631545502,0,0,0,0,0,0,0,0.069667905,0,0.16356249,0,0,0,0
Antigonish,1214,0,0,0,0,0,0.071723677,0.106070516,0,0.767189274,0.543406373,0,0.10355361,8.576606706,0.03864259,1.525070333,0.084801171,3.495118525,0.147275571,0,3.189485548,0,0.648870032,0,0.281955718,0,26.42725727,0,1.69308284,0.20559768,1.32950214,0.167015727,0.878161473,1.381157066,1.007735424,1.391895656,1.205414338,0.398260135,0.095208976,0.554462307,1.285424781,0.668957964,1.275690555,1.031098136,0.823640127,0.021302593,0,0.028333297,0.06092861,0,0.029243387,0,0,0.0363726,0.010061535,0.237552491,0.025633589,0.253365105,0,0,0.039662731,0.007765652,0,0,0.021558122,0.042549033,0.45560636,0.416446975
Inverness,1215,0.044730737,0,0,0,0,0.26072834,0.054873594,0,0.254787374,0.925219102,0,0.021428608,0.317798399,8.036390047,2.367339498,0.02024783,19.88947502,0.30476103,0,2.317886079,0.030684626,1.760948227,0.002676346,0,0.631524718,0,0,0,0.257880826,0.759438133,5.882506309,0.446690562,1.447352386,1.088429453,0.863800758,1.091297421,0.451081166,0.241426898,0.682436669,0.889619305,0.382095947,0.581243804,0.828783713,2.070799692,0.013508833,0,0.014657701,0.01260811,1.397406078,0.76148438,0.020231411,8.508933538,0.037633366,0.024984704,0.081928887,0.081028352,0.629153716,0,0,0.0984901,0.184801063,0,0,0,0,5.067537435,0.236985145
Richmond,1216,0,0,0,0,0,0.366798846,0,0,0.98648445,4.243836616,0,0.36681586,0.016875278,0,0.583218251,0,36.51729167,0.05899861,0,0.152108126,0,1.768426613,0,0,0,0,0,0,0.874400018,0.591776336,0,0.363163983,0.602946052,1.602225436,1.691514035,0.493863868,0.940370012,1.190261263,2.36974404,0.878327983,0.346003933,1.215468419,0.017068513,0.801771163,0.033034781,0,0,0,0,0,0.156663749,0,0,0,0,0,0,0,0,0,0.186655255,0,0,0,0,9.810232727,0.083414352
Cape Breton,1217,0,0,0.895526142,0,0,0.923972454,0,0,0.248411471,0.505478392,0,0.47661385,0.342242841,7.40570768,2.508381721,0.49236304,11.99003143,0.113399866,0,0.380633713,0.099172474,0.821705427,0,0.057153205,0,0,0,0.099837842,0.405396876,1.165084166,2.010119769,1.185980027,0.69436383,1.273852325,2.009846421,1.081471792,1.006947342,0.628621793,0.637307556,1.085016211,0.795887328,0.876484358,1.417035458,0.756775873,0.253663051,0.248485439,0,0.179642153,0,0.76566132,0.610792736,0,0.364619793,0.487993266,0.2334669,0.005839851,0.024655248,0.382987689,0,0,0.995988092,0,0,0.025536793,0.046901784,0.839569741,0.104367581
Victoria,1218,0,0,0,0,0,0.035841301,0,0,0,0.318703772,1.114780387,0,0.063874315,0,0.332541336,0.021634876,44.95810493,0.732685985,3.930039359,1.637120386,0.098359889,7.779154327,0,0,2.024359045,0,0,0,0.043798847,1.347333589,0.28530199,0.075167071,0.23491155,0.601973356,1.491659956,2.493641586,0.529410478,0,2.147543443,0.826988338,0.227886632,0.729232565,0.325018726,0,0.086605409,0,0,0,0,0,0,0,0,0.786499278,0,0.034006764,0.336126462,0,0,0.052618507,0.154534364,0,0,0,1.226770152,0.566652694,0
Saint John,1301,0,0.015254298,0.473930746,0,0,1.601497343,0.008701745,0,1.321825728,0.635332157,0.759965306,4.520601528,0.164960675,4.089475513,2.044319345,0.195862484,0.410721775,0.724925938,0,2.710018654,0.013976166,0.792365222,0.806057579,0.604294832,0,0,0.010143808,0,1.252856849,0.95813951,0.084635775,1.486566284,1.828882786,0.626638987,0.973005619,0.864030237,0.772223398,0.719424781,0.835555353,0.931088756,0.388341821,0.921110388,0.865459902,1.575009398,0.194266051,0.535830388,0.002324389,2.660328683,0,0.712532788,12.06977815,6.139450128,2.703424306,0.602751024,0.090944836,0.261788454,0.318026425,0.020386469,0,0.039045909,1.037155758,0.159471065,0,0.123132873,0,11.20367869,0.295416349
Charlotte,1302,0,1.502127763,2.902761613,0,0.083308883,0.144519088,0,0,0.22628487,0.862473604,0,1.546680964,0.384005727,0.03785386,1.263045146,0.063900234,78.00666456,5.135995825,0,1.004266711,0.290513332,2.917627633,0.024062367,0.017262547,0,0,0,0,0.343859464,2.812748411,0.019224696,0.242544647,0.503025979,0.989203601,1.056297325,0.851316851,0.254596504,0.372345817,0.401625021,1.351837416,0.375099558,0.666838023,0.446593465,0.051101372,0.046447348,0,0,0,0,0.706628542,0,4.028008359,0.391932229,0.342534017,0,0,0.40957775,1.122671263,0,0,1.118250735,0.080376213,0,0,0.166722279,3.570456248,5.09933654
Sunbury,1303,0,0,0,0,0,0.481409893,0.143914242,0,0.786472008,0.595203377,0,0,0.1880174,0,0.941345073,0.028226055,0,0.318634212,0,4.189606348,0,0.563839707,0,0,0,0,0,0,0.285246942,1.558055205,0.014496631,0.264260119,0.651267009,1.77807062,1.428781941,1.08334993,0.760072047,0.328201338,1.331798449,2.027653137,2.119593066,1.836442207,1.124620917,0.112862664,0.028247551,0.227921695,0.038442021,0,0,0,0,0,0.078692987,1.008695734,0.085658414,0,0,0,0,0,2.150550113,0,0,0.009328302,0,0,11.35251141
,1304,0,5.441738784,0,0,0,0.012331561,0,0,0,0.709238815,0.357699098,0.0363444,0.022414771,0,14.41248326,0.208259197,0,0.078365545,0,22.42635916,5.523121574,1.330118047,0,0,0,0,0,0.180178367,0.772961967,3.340641741,0,0.060297063,0.989309565,0.859164261,2.29800123,0.315842247,0.049962268,6.312110429,1.932264298,1.830037161,0.563844374,0.877675125,0.136028631,1.898469245,0.574065814,0,0,0,0,7.676648621,0.104045163,0,0,6.202016885,0,0,0,0,0,0,0.702459468,0,0,0,0.393633205,0,5.539800971
,1305,0,1.661946927,0.318731353,0,0,0.270059037,2.201987815,0.089887887,0.168464826,0.424439251,0,0.380125426,0.372582499,0,0.721046339,2.863352714,0.093811108,3.132768798,0,4.022204599,0.149054801,0.897926708,0.017085856,0.74669582,0,0.349933009,0.040931926,0.112093655,0.530773117,1.525105621,0.440576192,0.829722557,0.890973695,1.837499376,1.54507118,1.177954472,1.312018035,1.432359068,0.967736746,1.186900623,1.515819266,1.483638364,0.677015638,0.18640595,0.192902582,0.601238101,0.588189608,0,0,2.149129381,0.155350095,0,0.096324587,0,0.183488648,0.644665416,0,0.411313687,0,0,1.403600057,0,0,0.054488645,0.112681472,0.075410637,2.335436321
Albert,1306,0,0,0,0,0,1.744688226,0,0,0.23978886,0.570093057,0,0.03850097,0.343244322,0.071836086,4.232991803,0.04850594,5.268146835,0.595873496,0,0.776444594,0.05513134,1.591842864,0.045663672,0.360354575,0,0,0,0,0.520629267,0.978313028,0.09548318,0.063197428,1.020437931,1.662786481,1.171030152,1.510876134,1.553510305,0.027283482,0.751108745,1.35063692,1.944891704,1.258616741,0.546525159,1.302218454,0.160958451,0,0,0.022653103,0,0.670492095,0.036349956,0,0.270464809,0.018704266,0.147202358,0.047652517,0.471002524,0,0,0.073732515,3.277028338,0,0,0,0,0,0.038708483
Westmorland,1307,0.154614279,0.187694802,0.166014223,0.158446936,0,0.867340725,0.269506747,0.825447661,0.367651762,1.176802708,0.240417278,0.550478576,0.994765571,0,0.853313501,0.184301072,8.862493584,0.612098882,0,0.258010408,1.066686231,0.99544795,0.666262829,3.199498009,0.072763344,0.378054452,0.368510932,0.548994672,0.970238027,0.807873991,1.102094601,0.95883253,0.711376289,0.945950995,1.265493864,0.969613467,0.781901259,0.992626486,1.814648144,1.664610073,0.976052365,1.020459824,0.994023105,0.38033183,0.426836145,0.445182351,0.071989984,0.116402962,0,0.791260994,0.004662067,2.852925398,0.581032142,1.2677253,0.277126096,0.162523863,0.561827049,0.126445397,0,0.056739418,1.427523606,0.117126041,0.095631851,0.078323523,0.176379578,0.773972733,1.12088756
